,fr,en
terms_condition_use_label,Conditions d'Utilisation,Conditions of Use
error_condition_of_use,Vous devez accepter les conditions d'utilisation,You must accept the terms of use
accept_conditions_use,J'ai lu et j'accepte,I have read and accept
terms_condition_use_label_change,Veuillez accepter les nouvelles conditions d'utilisation.,Please accept the new terms of use.
ok_btn,OK,OK
version_label_1,Version du DAW,DAW version
bpm_label_1,BPM,BPM
path_dir_error,Seuls les répertoires sont acceptés,Only directories are accepted
exe_popup_error,Veuillez configurer le chemin d'accès des exécutables,Please set the path for executables
set_exe,   Configurer les exe   ,   Configuring exe   
exe_error,Seuls les fichiers .exe sont acceptés,Only .exe files are accepted
plat_to_sameplat_btn,   Plateforme à platforme   ,   Platform to platform   
plat_to_otherplat_btn,   Platforme à autre platforme   ,   Platform to other platform   
back_btn,   Retour   ,   Back   
choose_f_p_o,Déposer le dossier contenant les stems du projet :,Drag and drop the project stems folder :
only_mac_os_ext,Disponible uniquement sur MacOS,Available only on MacOS
get_update,Vérifier les mise à jours  ↓,Check for updates  ↓
project_date,Modifié,Modified
file_not_found,Dossier introuvable,Folder not found
files_not_found,Fichier introuvable,File not found
thanks_label,Merci de votre soutien !,Thank you for your support!
title_filedialog_flp,Sélectionnez le .flp du projet,Select the project .flp
title_filedialog_als,Sélectionnez le .als du projet,Select the project .als
title_filedialog_logic,Sélectionnez le .logic du projet,Select the project .logic
title_filedialog_cpr,Sélectionnez le .cpr du projet,Select the project .cpr
title_filedialog_rpp,Sélectionnez le .rpp du projet,Select the project .rpp
title_filedialog_song,Sélectionnez le .song du projet,Select the project .song
file_not_found2,Fichier introuvable ,File not found 
idea_bug,Bug / Idée,Bug / Idea
project_dl_finished,L'installation de vos projets s'est terminée correctement,Your projects have been installed successfully
project_dl_popup,"Vos projets sont en cours d'installation, veuillez patienter","Your projects are being installed, so please be patient"
click_to_copy,Cliquez pour copier,Click to copy
copie_tooltip,Copié !,Copied !
ago_text,il y a {time},{time} ago
date_year,an,y
date_month,m,m
date_day,j,d
date_hour,h,h
date_minute,min,min
date_second,sec,sec
update_avalible,Mise à jour disponible,Update available
update_desc,"Les mises à jour sont fortement recommandées afin d'éviter des dysfonctionnements majeurs de l'application. Veuillez les effectuer dès que vous en avez la possibilité (IMPORTANT).

Procédure de mise à jour :
1 - Cliquez sur le bouton ""Télécharger"".
2 - Téléchargez la dernière version sur le site web.
3 - Désinstallez Kollab de votre machine.
4 - Réinstallez Kollab sur votre machine.

Si vous rencontrez des problèmes concernant quoi que ce soit, envoyez un email au support à contact@kollabsound.com ou sur le serveur Discord : https://discord.gg/85ekjJMCgT","Updates are strongly recommended to avoid major application malfunctions. Please update as soon as you can (IMPORTANT).

Update procedure :
1 - Click on the ""Download"" button.
2 - Download the latest version from the website.
3 - Uninstall Kollab from your machine.
4 - Reinstall Kollab on your machine.

If you have any problems with any aspect of Kollab, please email support at contact@kollabsound.com or on the Discord server: https://discord.gg/85ekjJMCgT"
join_error2,Le répertoire choisi doit être vide,The selected directory must be empty
update_popup_btn,   Mettre à jour   ,   Update   
project_not_found,Projet introuvable,Project not found
reconfig_btn,   Configurer   ,   Set up   
config_label,Veuillez configurer le nouveau chemin d'accès du projet,Please set the new project path
free_trial_btn,Essai gratuit de 14j,14-day free trial
free_trial,Temps restant {time},Remaining {time}
popup_free_trial_label,Commencez votre période d'essai ?,Start your trial period ?
free_trial_btn_popup,   Commencer   ,   Start   
free_trial_ended_popup_label,Fin de votre période d'essai,End of your trial period
message_free_trial,Votre période d'essai est finie. Veuillez acheter une clé d'activation.,Your trial period is over. Please purchase an activation key
reset_password_email_send,Email envoyé !,Email sent !
reset_password_btn,Réinitialiser,Reset
password_forgot_label,Mot de passe oublié ?,Forgot your password ?
link_machine_popup_error_label,Ce compte appartient à un autre appareil,This account belongs to another device
link_machine_error_message,Ce compte a été activé sur l'appareil nommé {hostname},This account has been activated on the device named {hostname}
link_machine_popup_label,Activation du compte,Account activation
link_machine_message,"Si vous validez, ce compte sera associé à cet appareil et ne pourra plus être changé !","If you confirm, this account will be associated with this device and cannot be changed!"
link_btn,   Confirmer   ,   Confirm   
contact_support,"Pour tout changement ou erreur, veuillez contacter le","For any changes or errors, please contact"
account_activation_time_error_popup_label,Clé d'activation expirée,Activation key expired
account_activation_time_error_popup_message,"Votre clé d'activation est arrivée à expiration, veuillez souscrire à une nouvelle clé !","Your activation key has expired, please sign up for a new one !"
key_expiration,Votre clé expire dans,Your key expires in
ext_project_edit,Modifier l'extension,Edit extension
size_file_error,Vous pouvez créer un projet de {size}Mo maximum !,You can create a project of up to {size}MB !
size_file_error_gb,Vous pouvez créer un projet de {size}Go maximum !,You can create a project of up to {size}GB !
language_label,Langue :,Language :
public_projects_btn,     Projets public,     Public projects
public_projects_label,Projets public,Public projects
download_btn,Télécharger,   Download   
project_creator_label,Créateur,Creator
popup_public_project_label,Projects public erreur,Public projects error
message_public_project,"La création et l'accessibilité aux projets publics ne sont possibles qu'avec une clé ""Premium""","Public projects can only be created and accessed with a ""Premium"" key."
popup_upgrade_key_btn,   Améliorer la clé   ,   Improve key   
commentary_title,Commentaires,Comments
your_comment_here,Ton projet est trop cool ^^ !,Your project is so cool ^^!
send_comment_btn,   Publier   ,   Publish   
comment_error,Vous ne pouvez pas publier un commentaire vide !,You can't publish an empty comment !
delete_comment_btn,Supprimer,Delete
popup_delete_comment_label,Voulez-vous supprimer ce commentaire ?,Would you like to delete this comment ?
popup_delete_btn,"   Oui, supprimer   ","   Yes, delete   "
not_projects,"Trop vide, trop vide...","Too empty, too empty..."
not_comments,C'est trop calme...,It's too quiet...
not_public_projects,Aucun projet à l'horizon !,No project on the horizon !
history_title,Historique des mises à jour,Update history
message_full_project_premium,Nombre de projets maximaux atteints !,Maximum number of projects reached !
size_file_error_push,Le projet peut avoir une taille de maximum {size} Mo !,The maximum project size is {size}MB !
size_file_error_push_gb,Le projet peut avoir une taille de maximum {size} Go !,The maximum project size is {size}GB !
user_desc,A propos de moi,About me
user_links,Liens utiles,Useful links
public_project,Projets publics,Public projects
user_desc_placeholder,Ici tu peux parler de toi ^^,Here you can talk about yourself ^^
social_btn,     Social,     Social
my_profile_btn,Mon profil,My profile
chat_btn,Chat,Chat
my_friends_btn,Mes amis,My friends
add_firends_btn,Ajouter des amis,Add friends
social_title,Social,Social
save_profile,   Sauvegarder   ,   Save   
username_check_error,Ce nom d'utilisateur est déjà utilisé !,This username is already in use !
open_link_popup_title,AVERTISSEMENT,WARNING
open_link_popup_subtitle,Ce lien peut être dangereux. Voulez-vous continuer ?,This link may be dangerous. Would you like to continue?
